doc_id,content
D1,"아이폰(iPhone) 스마트폰 시리즈는 애플(Apple Inc.)에 의해 설계 및 마케팅되었습니다."
D2,"애플(Apple Inc.)은 캘리포니아 쿠퍼티노에 본사를 둔 미국의 다국적 기술 회사입니다."
D3,"쿠퍼티노(Cupertino)는 미국 캘리포니아주에 위치한 도시로, 애플의 본거지로 알려져 있습니다."
D4,"팀 쿡(Tim Cook)은 2011년 스티브 잡스의 뒤를 이어 애플(Apple Inc.)의 CEO가 되었습니다."
D5,"스티브 잡스(Steve Jobs)는 애플(Apple Inc.)의 공동 창업자였으며 2011년까지 CEO를 역임했습니다."
D6,"갤럭시(Galaxy) 시리즈는 삼성전자가 제조 및 판매하는 안드로이드 스마트폰 브랜드입니다."
D7,"삼성전자의 본사는 대한민국 서울 서초구에 위치해 있습니다."
D8,"이재용은 현재 삼성전자의 회장직을 맡고 있습니다."
D9,"서울은 대한민국의 수도이자 최대 도시로, 한강이 흐르고 있습니다."
D10,"삼성전자는 1938년 이병철에 의해 창립된 삼성그룹의 계열사입니다."
D11,"구글(Google)은 1998년 래리 페이지와 세르게이 브린이 설립한 미국의 검색 엔진 기업입니다."
D12,"순다르 피차이(Sundar Pichai)는 현재 구글 및 모회사 알파벳(Alphabet)의 CEO입니다."
D13,"구글의 본사인 구글플렉스(Googleplex)는 미국 캘리포니아주 마운틴뷰에 위치해 있습니다."
D14,"알파고(AlphaGo)는 구글 딥마인드(Google DeepMind)가 개발한 바둑 인공지능 프로그램입니다."
D15,"딥마인드(DeepMind)는 영국 런던에 본사를 둔 인공지능 연구 기업으로, 2014년 구글에 인수되었습니다."
D16,"BTS(방탄소년단)는 2013년 데뷔한 대한민국 7인조 보이그룹으로, 하이브(HYBE) 소속입니다."
D17,"하이브(HYBE)는 작곡가 겸 프로듀서 방시혁이 설립한 엔터테인먼트 기업입니다."
D18,"방시혁은 '뱅(Hitman Bang)'이라는 예명으로도 알려진 유명 프로듀서입니다."
D19,"하이브의 본사는 대한민국 서울 용산구에 위치한 하이브 용산 사옥입니다."
D20,"BTS의 영어 곡 'Dynamite'는 한국 가수 최초로 미국 빌보드 핫 100 차트 1위를 기록했습니다."
D21,"영화 '기생충(Parasite)'은 2019년 개봉한 봉준호 감독의 블랙 코미디 스릴러 영화입니다."
D22,"봉준호 감독은 영화 '기생충'으로 칸 영화제에서 최고상인 황금종려상을 수상했습니다."
D23,"칸 영화제(Cannes Film Festival)는 프랑스 남부의 휴양 도시 칸에서 매년 열리는 국제 영화제입니다."
D24,"'기생충'은 제92회 아카데미 시상식(오스카)에서 작품상, 감독상 등 4관왕을 달성했습니다."
D25,"배우 송강호는 영화 '기생충'에서 기택 역을 맡아 열연했습니다."
D26,"손흥민은 잉글랜드 프리미어리그(EPL)의 토트넘 홋스퍼 FC에서 활약하는 대한민국 축구 선수입니다."
D27,"토트넘 홋스퍼 FC(Tottenham Hotspur FC)의 연고지는 영국 런던입니다."
D28,"런던(London)은 영국의 수도이자 최대 도시로, 유럽의 주요 금융 중심지 중 하나입니다."
D29,"손흥민은 2021-2022 시즌 프리미어리그에서 아시아 선수 최초로 득점왕(골든 부트)을 수상했습니다."
D30,"해리 케인은 토트넘에서 손흥민과 환상적인 호흡을 보여준 잉글랜드 출신 스트라이커입니다."
