query_id,query_text,relevant_doc_ids
Q1,아이폰을 만든 회사의 본사가 위치한 도시는 어디인가요?,"D1=1;D2=1;D3=1"
Q2,아이폰을 설계한 회사의 현재 CEO는 누구인가요?,"D1=1;D2=1;D4=1"
Q3,애플 본사가 위치한 도시는 어느 주에 있나요?,"D2=1;D3=1"
Q4,갤럭시 스마트폰을 만드는 회사의 현재 회장은 누구인가요?,"D6=1;D7=1;D8=1"
Q5,알파고를 개발한 회사의 본사가 위치한 도시는 어디인가요?,"D14=1;D15=1"
Q6,BTS가 소속된 기획사를 설립한 사람은 누구인가요?,"D16=1;D17=1"
Q7,영화 기생충을 연출한 감독이 수상한 영화제는 어디인가요?,"D21=1;D22=1;D23=1"
Q8,손흥민 선수가 소속된 팀의 연고지는 어디인가요?,"D26=1;D27=1"
Q9,토트넘 홋스퍼 FC가 위치한 도시가 수도인 나라는 어디인가요?,"D27=1;D28=1"
Q10,삼성전자를 창립한 사람이 세운 그룹의 이름은 무엇인가요?,"D10=1"
